Unnamed: 0,0
235499,10th century
256363,10th century bc
228166,11th century
220707,12th century
215160,13th century
254680,13th century bc
252784,1420s
237612,14th century
254678,14th century bc
213097,15th century
208244,16th century
207941,17th century
160279,18th century
210184,1910s
207876,1920s
214548,1930s
207883,1940s
208611,1950s
208992,1960s
1228,1970s
208289,1980s
210608,1990s
207928,19th century
222185,1st century
252104,2000s
232222,20th century
209493,21st century
226146,25th century
235792,2nd century
209714,3d
252610,3rd century
253607,3rd century bc
235830,47 ronin
252609,4th century
253606,4th century bc
213096,5th century
253315,5th century bc
252571,6th century
251618,7th century
251714,80s
252696,8th century
252544,9th century
223172,abandoned baby
240377,abandoned building
8303,abandoned house
215861,abandoned mine
217163,abandoned ship
229895,abandoned woman
216734,abandonment
247373,abattoir
251510,abba
235261,abduction
230358,abilene kansas
209070,abolitionist
209560,aboriginal
209619,aborigine
208591,abortion
229731,abraham
209409,abraham lincoln
244298,absent husband
208321,absent minded
225415,absent mindedness
211158,absent parent
210626,absinthe
213891,abstract
215853,abstract art
226818,absurd humor
214655,absurdism
207691,abuse
238795,abused wife
243608,abused woman
233103,abusive alcoholic
212642,abusive father
212643,abusive husband
208170,abusive marriage
222314,abusive mother
253473,abusive person
229663,abusive stepfather
236607,academy awards
207717,acapulco mexico
208873,acceptance
207819,accident
208280,accident victim
14540,accidental death
221204,accidental killing
239497,accidental marriage
2777,accordion
207697,accountant
226550,accounting fraud
221188,accusation
208580,acid
241503,acoustic guitar
208774,acrobats
208586,acting
219404,action hero
208314,action heroine
213971,activism
247490,activisme
208647,activist
207716,actor
255876,actress
221728,acupuncture
215127,adam and eve
186846,adaptation
209194,addams family
164296,addict
4436,addicted
6782,addiction
166662,address book
162832,adenauer
33388,admiral
3494,admiration
704,adolescence
245333,adolf hitler
156834,adopted
166579,adopted brother
185927,adopted child
228163,adopted daughter
209051,adopted son
2393,adoption
4130,adoptive father
8018,adoptive mother
226457,adoration
4680,adrenaline
3718,adult
161919,adult animation
198929,adult as a child
236626,adult child friendship
6280,adult education center
195997,adult filmmaking
11192,adult humor
15113,adult lives at home
193924,adulteress
596,adultery
5212,advancement
175428,adventurer
5440,adversary
15086,advertising
186507,advertising agency
256413,advertising campaign
168750,advertising executive
5920,advertising expert
256491,advertising model
5999,advice
33478,advice columnist
10237,aerial combat
175977,aerial photography
174954,aerial shot
163405,aerobics
188594,aeronautical engineer
170337,aeronautics
155298,aeroplane
235524,aerospace
229299,affair
2803,affectation
5608,affection
33495,afghan
3541,afghanistan
207973,afi
409,africa
13069,african
251436,african american history
164443,african american music
186797,african american servant
4737,african national congress
34257,african union
155760,afro
214775,afrofuturism
179430,aftercreditsstinger
6155,afterlife
5308,aftermath
202967,afterworld
248128,against all odds
171051,against the odds
255338,age change
965,age difference
174445,ageism
33705,agent
236782,agent orange
2879,aggression
202371,aggressive
4995,aging
155507,aging actor
172684,agnostic
10353,agoraphobia
5888,agriculture
740,aids
155608,aikido
3046,ailul al aswad
13152,air
233360,air attack
159094,air base
15259,air battle
188609,air conditioner
4545,air controller
3779,air force
212912,air force base
8986,air force one
198541,air marshal
188747,air pirate
168546,air race
158547,air raid
158770,air traffic control
157232,airborne car
221092,aircraft carrier
180826,aircraft factory
195687,airline pilot
172594,airliner
3800,airplane
10812,airplane accident
12617,airplane crash
10184,airplane hijacking
157282,airplane manufacturer
199733,airplane shot down
11116,airplane wreck
822,airport
40854,airport security
10400,airship
249855,ak 47
155714,al capone
2075,alabama
198756,aladdin
155466,alamo
214956,alan smithee
165909,alarm
905,alarm clock
9880,alaska
2941,albania
182045,albanian
8689,albert einstein
163531,albino
191005,albuquerque
3859,alcatraz
202335,alchemist
161395,alchemy
567,alcohol
15237,alcohol abuse
33457,alcoholic
164044,alcoholic drink
161545,alcoholic father
214514,alcoholics anonymous
7464,alcoholism
189885,alexander nevsky
5127,alexander the great
189884,alexandre nevski
245317,alexandria
194568,alfred hitchcock
169449,algeria
2263,algerian
2506,algerienkrieg
156123,algiers
215159,algonquin indian
14554,alias
2326,alibi
12552,alice in wonderland
9951,alien
12553,alien abduction
192962,alien attack
227719,alien civilization
160515,alien contact
230857,alien creature
235513,alien dna
240621,alien doppelganger
229652,alien encounter
206281,alien fugitive
15250,alien infection
14909,alien invasion
162459,alien language
4862,alien life-form
183787,alien monster
220392,alien parasites
4939,alien phenomenons
10158,alien planet
163386,alien possession
226178,alien queen
163252,alien race
177178,alien space craft
231277,alien technology
211359,alien teenager
7368,alienation
243638,aliens
208125,alimony
34100,all black cast
160396,all girl band
197104,all girls school
